Retailer	Retailer ID	Invoice Date	Region	State	City	Product	Price per Unit	Units Sold	Total Sales	Operating Profit	Operating Margin	Sales Method
Foot Locker	1185732	30/01/2020	Northeast	New York	New York	Women's Apparel	50.00	950	475000.00	118750.00	0.25	Outlet
Foot Locker	1185732	31/01/2020	Northeast	New York	New York	Men's Street Footwear	50.00	1,200	600000.00	300000.00	0.50	Outlet
Foot Locker	1185732	01/02/2020	Northeast	New York	New York	Men's Athletic Footwear	50.00	900	450000.00	135000.00	0.30	Outlet
Foot Locker	1185732	02/02/2020	Northeast	New York	New York	Women's Street Footwear	40.00	900	360000.00	126000.00	0.35	Outlet
Foot Locker	1185732	03/02/2020	Northeast	New York	New York	Women's Athletic Footwear	45.00	825	371250.00	129937.50	0.35	Outlet
Foot Locker	1185732	04/02/2020	Northeast	New York	New York	Men's Apparel	60.00	825	495000.00	148500.00	0.30	Outlet
Foot Locker	1185732	05/02/2020	Northeast	New York	New York	Women's Apparel	50.00	950	475000.00	118750.00	0.25	Outlet
Foot Locker	1185732	06/02/2020	Northeast	New York	New York	Men's Street Footwear	60.00	1,220	732000.00	366000.00	0.50	Outlet
Foot Locker	1185732	07/02/2020	Northeast	New York	New York	Men's Athletic Footwear	55.00	925	508750.00	152625.00	0.30	Outlet
Foot Locker	1185732	08/02/2020	Northeast	New York	New York	Women's Street Footwear	50.00	900	450000.00	157500.00	0.35	Outlet
Foot Locker	1185732	09/02/2020	Northeast	New York	New York	Women's Athletic Footwear	50.00	850	425000.00	148750.00	0.35	Outlet
Foot Locker	1185732	10/02/2020	Northeast	New York	New York	Men's Apparel	60.00	875	525000.00	157500.00	0.30	Outlet
Foot Locker	1185732	03/03/2020	Northeast	New York	New York	Women's Apparel	65.00	1,000	650000.00	162500.00	0.25	Outlet
Foot Locker	1185732	04/03/2020	Northeast	New York	New York	Men's Street Footwear	60.00	1,250	750000.00	375000.00	0.50	Outlet
Foot Locker	1185732	05/03/2020	Northeast	New York	New York	Men's Athletic Footwear	55.00	1,000	550000.00	165000.00	0.30	Outlet
Foot Locker	1185732	06/03/2020	Northeast	New York	New York	Women's Street Footwear	50.00	925	462500.00	161875.00	0.35	Outlet
Foot Locker	1185732	07/03/2020	Northeast	New York	New York	Women's Athletic Footwear	50.00	900	450000.00	157500.00	0.35	Outlet
Foot Locker	1185732	08/03/2020	Northeast	New York	New York	Men's Apparel	60.00	900	540000.00	162000.00	0.30	Outlet
Foot Locker	1185732	09/03/2020	Northeast	New York	New York	Women's Apparel	65.00	1,050	682500.00	170625.00	0.25	Outlet
Foot Locker	1185732	10/03/2020	Northeast	New York	New York	Men's Street Footwear	60.00	1,275	765000.00	382500.00	0.50	Outlet
Foot Locker	1185732	11/03/2020	Northeast	New York	New York	Men's Athletic Footwear	55.00	1,025	563750.00	169125.00	0.30	Outlet
Foot Locker	1185732	12/03/2020	Northeast	New York	New York	Women's Street Footwear	50.00	950	475000.00	166250.00	0.35	Outlet
Foot Locker	1185732	13/03/2020	Northeast	New York	New York	Women's Athletic Footwear	50.00	900	450000.00	157500.00	0.35	Outlet
Foot Locker	1185732	14/03/2020	Northeast	New York	New York	Men's Apparel	60.00	925	555000.00	166500.00	0.30	Outlet
Foot Locker	1185732	15/03/2020	Northeast	New York	New York	Women's Apparel	65.00	1,100	715000.00	178750.00	0.25	Outlet
Foot Locker	1185732	16/03/2020	Northeast	New York	New York	Men's Street Footwear	60.00	1,250	750000.00	375000.00	0.50	Outlet
Foot Locker	1185732	17/03/2020	Northeast	New York	New York	Men's Athletic Footwear	55.00	1,025	563750.00	169125.00	0.30	Outlet
Foot Locker	1185732	18/03/2020	Northeast	New York	New York	Women's Street Footwear	50.00	950	475000.00	166250.00	0.35	Outlet
Foot Locker	1185732	31/03/2020	Northeast	New York	New York	Women's Athletic Footwear	50.00	925	462500.00	161875.00	0.35	Outlet
Walmart	1185732	17/04/2020	Northeast	New York	New York	Men's Apparel	60.00	900	540000.00	162000.00	0.30	Outlet
Walmart	1185732	18/04/2020	Northeast	New York	New York	Women's Apparel	65.00	1,075	698750.00	174687.50	0.25	Outlet
Walmart	1185732	19/04/2020	Northeast	New York	New York	Men's Street Footwear	60.00	1,200	720000.00	360000.00	0.50	Outlet
Walmart	1185732	20/04/2020	Northeast	New York	New York	Men's Athletic Footwear	55.00	1,000	550000.00	165000.00	0.30	Outlet
Walmart	1185732	21/04/2020	Northeast	New York	New York	Women's Street Footwear	50.00	925	462500.00	161875.00	0.35	Outlet
Walmart	1185732	22/04/2020	Northeast	New York	New York	Women's Athletic Footwear	50.00	900	450000.00	157500.00	0.35	Outlet
Walmart	1185732	23/04/2020	Northeast	New York	New York	Men's Apparel	60.00	900	540000.00	162000.00	0.30	Outlet
Walmart	1185732	24/04/2020	Northeast	New York	New York	Women's Apparel	65.00	1,000	650000.00	162500.00	0.25	Outlet
Walmart	1185732	25/04/2020	Northeast	New York	New York	Men's Apparel	65.00	875	568750.00	170625.00	0.30	Outlet
Walmart	1185732	26/04/2020	Northeast	New York	New York	Women's Apparel	70.00	1,000	700000.00	175000.00	0.25	Outlet
Walmart	1185732	27/04/2020	Northeast	New York	New York	Men's Street Footwear	65.00	1,150	747500.00	373750.00	0.50	Outlet
Walmart	1185732	28/04/2020	Northeast	New York	New York	Men's Athletic Footwear	55.00	975	536250.00	160875.00	0.30	Outlet
Walmart	1185732	29/04/2020	Northeast	New York	New York	Women's Street Footwear	55.00	920	506000.00	177100.00	0.35	Outlet
Walmart	1185732	30/04/2020	Northeast	New York	New York	Women's Athletic Footwear	55.00	900	495000.00	173250.00	0.35	Outlet
Walmart	1185732	01/05/2020	Northeast	New York	New York	Men's Apparel	65.00	875	568750.00	170625.00	0.30	Outlet
Walmart	1185732	02/05/2020	Northeast	New York	New York	Women's Apparel	70.00	975	682500.00	170625.00	0.25	Outlet
Walmart	1185732	03/05/2020	Northeast	New York	New York	Men's Street Footwear	65.00	1,200	780000.00	390000.00	0.50	Outlet
Walmart	1185732	04/05/2020	Northeast	New York	New York	Men's Athletic Footwear	55.00	1,000	550000.00	165000.00	0.30	Outlet
Walmart	1185732	05/05/2020	Northeast	New York	New York	Women's Street Footwear	55.00	950	522500.00	182875.00	0.35	Outlet
Walmart	1185732	06/05/2020	Northeast	New York	New York	Women's Athletic Footwear	55.00	900	495000.00	173250.00	0.35	Outlet
Walmart	1185732	07/05/2020	Northeast	New York	New York	Men's Apparel	65.00	900	585000.00	175500.00	0.30	Outlet
Walmart	1185732	18/07/2020	Northeast	New York	New York	Women's Apparel	70.00	1,000	700000.00	175000.00	0.25	Outlet
Sports Direct	1197831	19/07/2020	Northeast	New York	New York	Men's Street Footwear	25.00	900	225000.00	78750.00	0.35	Outlet
Sports Direct	1197831	20/07/2020	Northeast	New York	New York	Men's Athletic Footwear	35.00	900	315000.00	110250.00	0.35	Outlet
Sports Direct	1197831	21/07/2020	Northeast	New York	New York	Women's Street Footwear	35.00	700	245000.00	85750.00	0.35	Outlet
Sports Direct	1197831	22/07/2020	Northeast	New York	New York	Women's Athletic Footwear	35.00	700	245000.00	110250.00	0.45	Outlet
Sports Direct	1197831	23/07/2020	South	Texas	Houston	Men's Apparel	40.00	550	220000.00	66000.00	0.30	Outlet
Sports Direct	1197831	24/07/2020	South	Texas	Houston	Women's Apparel	35.00	700	245000.00	122500.00	0.50	Outlet
Sports Direct	1197831	25/07/2020	South	Texas	Houston	Men's Street Footwear	25.00	850	212500.00	74375.00	0.35	Outlet
Sports Direct	1197831	26/07/2020	South	Texas	Houston	Men's Athletic Footwear	35.00	850	297500.00	104125.00	0.35	Outlet
Sports Direct	1197831	27/07/2020	South	Texas	Houston	Women's Street Footwear	35.00	675	236250.00	82687.50	0.35	Outlet
Sports Direct	1197831	28/07/2020	South	Texas	Houston	Women's Athletic Footwear	35.00	625	218750.00	98437.50	0.45	Outlet
Sports Direct	1197831	29/07/2020	South	Texas	Houston	Men's Apparel	40.00	500	200000.00	60000.00	0.30	Outlet
Sports Direct	1197831	30/07/2020	South	Texas	Houston	Women's Apparel	35.00	700	245000.00	122500.00	0.50	Outlet
Sports Direct	1197831	31/07/2020	South	Texas	Houston	Men's Street Footwear	30.00	875	262500.00	91875.00	0.35	Outlet
Sports Direct	1197831	01/08/2020	South	Texas	Houston	Men's Athletic Footwear	40.00	875	350000.00	122500.00	0.35	Outlet
Sports Direct	1197831	02/08/2020	South	Texas	Houston	Women's Street Footwear	35.00	700	245000.00	85750.00	0.35	Outlet
Sports Direct	1197831	03/08/2020	South	Texas	Houston	Women's Athletic Footwear	40.00	600	240000.00	108000.00	0.45	Outlet
Sports Direct	1197831	04/08/2020	South	Texas	Houston	Men's Apparel	45.00	500	225000.00	67500.00	0.30	Outlet
Sports Direct	1197831	05/08/2020	South	Texas	Houston	Women's Apparel	40.00	650	260000.00	130000.00	0.50	Outlet
Sports Direct	1197831	06/08/2020	South	Texas	Houston	Men's Street Footwear	30.00	900	270000.00	94500.00	0.35	Outlet
Sports Direct	1197831	07/08/2020	South	Texas	Houston	Men's Athletic Footwear	40.00	900	360000.00	126000.00	0.35	Outlet
Sports Direct	1197831	08/08/2020	South	Texas	Houston	Women's Street Footwear	35.00	725	253750.00	88812.50	0.35	Outlet
Sports Direct	1197831	09/08/2020	South	Texas	Houston	Women's Athletic Footwear	40.00	625	250000.00	112500.00	0.45	Outlet
Walmart	1197831	10/08/2020	South	Texas	Houston	Men's Apparel	45.00	525	236250.00	70875.00	0.30	Outlet
Walmart	1197831	11/08/2020	South	Texas	Houston	Women's Apparel	40.00	800	320000.00	160000.00	0.50	Outlet
Walmart	1197831	12/08/2020	South	Texas	Houston	Men's Street Footwear	30.00	925	277500.00	97125.00	0.35	Outlet
Walmart	1197831	13/08/2020	South	Texas	Houston	Men's Athletic Footwear	40.00	925	370000.00	129500.00	0.35	Outlet
Walmart	1197831	14/08/2020	South	Texas	Houston	Women's Street Footwear	35.00	775	271250.00	94937.50	0.35	Outlet
Walmart	1197831	15/08/2020	South	Texas	Houston	Women's Athletic Footwear	40.00	700	280000.00	126000.00	0.45	Outlet
Walmart	1197831	16/08/2020	South	Texas	Houston	Men's Apparel	45.00	600	270000.00	81000.00	0.30	Outlet
Walmart	1197831	17/08/2020	South	Texas	Houston	Women's Apparel	40.00	950	380000.00	190000.00	0.50	Outlet
Walmart	1197831	18/08/2020	South	Texas	Houston	Men's Street Footwear	40.00	950	380000.00	133000.00	0.35	Outlet
Walmart	1197831	19/08/2020	South	Texas	Houston	Men's Athletic Footwear	45.00	950	427500.00	149625.00	0.35	Outlet
Walmart	1197831	20/08/2020	South	Texas	Houston	Women's Street Footwear	40.00	800	320000.00	112000.00	0.35	Outlet
Walmart	1197831	21/08/2020	South	Texas	Houston	Women's Athletic Footwear	40.00	750	300000.00	135000.00	0.45	Outlet
Walmart	1197831	22/08/2020	South	Texas	Houston	Men's Apparel	45.00	650	292500.00	87750.00	0.30	Outlet
Walmart	1197831	23/08/2020	South	Texas	Houston	Women's Apparel	50.00	1,000	500000.00	250000.00	0.50	Outlet
Walmart	1197831	24/08/2020	South	Texas	Houston	Men's Street Footwear	40.00	950	380000.00	133000.00	0.35	Outlet
Walmart	1197831	25/08/2020	South	Texas	Houston	Men's Athletic Footwear	45.00	950	427500.00	149625.00	0.35	Outlet
Walmart	1197831	26/08/2020	South	Texas	Houston	Women's Street Footwear	40.00	1,100	440000.00	154000.00	0.35	Outlet
Walmart	1197831	27/08/2020	South	Texas	Houston	Women's Athletic Footwear	40.00	700	280000.00	126000.00	0.45	Outlet
Walmart	1197831	28/08/2020	South	Texas	Houston	Men's Apparel	45.00	700	315000.00	94500.00	0.30	Outlet
Walmart	1197831	29/08/2020	South	Texas	Houston	Women's Apparel	50.00	975	487500.00	243750.00	0.50	Outlet
Walmart	1197831	30/08/2020	South	Texas	Houston	Men's Street Footwear	40.00	925	370000.00	129500.00	0.35	Outlet
Walmart	1197831	31/08/2020	South	Texas	Houston	Men's Athletic Footwear	45.00	925	416250.00	145687.50	0.35	Outlet
Walmart	1197831	01/09/2020	South	Texas	Houston	Women's Street Footwear	40.00	1,100	440000.00	154000.00	0.35	Outlet
Walmart	1197831	02/09/2020	South	Texas	Houston	Women's Athletic Footwear	40.00	650	260000.00	117000.00	0.45	Outlet
Walmart	1197831	03/09/2020	South	Texas	Houston	Men's Apparel	45.00	650	292500.00	87750.00	0.30	Outlet
Walmart	1197831	04/09/2020	South	Texas	Houston	Women's Apparel	50.00	900	450000.00	225000.00	0.50	Outlet
Walmart	1197831	05/09/2020	South	Texas	Houston	Men's Street Footwear	45.00	850	382500.00	133875.00	0.35	Outlet
Walmart	1197831	06/09/2020	South	Texas	Houston	Men's Athletic Footwear	45.00	850	382500.00	133875.00	0.35	Outlet
Walmart	1197831	07/09/2020	South	Texas	Houston	Women's Street Footwear	50.00	900	450000.00	157500.00	0.35	Outlet
Walmart	1197831	08/09/2020	South	Texas	Houston	Women's Athletic Footwear	50.00	625	312500.00	140625.00	0.45	Outlet
Walmart	1197831	09/09/2020	South	Texas	Houston	Men's Apparel	45.00	625	281250.00	84375.00	0.30	Outlet
Walmart	1197831	10/09/2020	South	Texas	Houston	Women's Apparel	55.00	850	467500.00	233750.00	0.50	Outlet
Walmart	1197831	11/09/2020	South	Texas	Houston	Men's Street Footwear	45.00	800	360000.00	126000.00	0.35	Outlet
Walmart	1197831	12/09/2020	South	Texas	Houston	Men's Athletic Footwear	45.00	800	360000.00	126000.00	0.35	Outlet
Walmart	1197831	13/09/2020	South	Texas	Houston	Women's Street Footwear	50.00	750	375000.00	131250.00	0.35	Outlet
Walmart	1197831	14/09/2020	South	Texas	Houston	Women's Athletic Footwear	50.00	600	300000.00	135000.00	0.45	Outlet
Walmart	1197831	15/09/2020	South	Texas	Houston	Men's Apparel	45.00	575	258750.00	77625.00	0.30	Outlet
Walmart	1197831	16/09/2020	South	Texas	Houston	Women's Apparel	55.00	750	412500.00	206250.00	0.50	Outlet
Walmart	1197831	20/10/2020	South	Texas	Houston	Men's Street Footwear	45.00	900	405000.00	141750.00	0.35	Outlet
Walmart	1197831	21/10/2020	South	Texas	Houston	Men's Athletic Footwear	45.00	900	405000.00	141750.00	0.35	Outlet
Walmart	1197831	22/10/2020	South	Texas	Houston	Women's Street Footwear	50.00	825	412500.00	144375.00	0.35	Outlet
Walmart	1197831	23/10/2020	South	Texas	Houston	Women's Athletic Footwear	50.00	675	337500.00	151875.00	0.45	Outlet
Walmart	1197831	24/10/2020	South	Texas	Houston	Men's Apparel	45.00	650	292500.00	87750.00	0.30	Outlet
Walmart	1197831	25/10/2020	South	Texas	Houston	Women's Apparel	55.00	850	467500.00	233750.00	0.50	Outlet
Walmart	1197831	26/10/2020	South	Texas	Houston	Men's Street Footwear	45.00	950	427500.00	149625.00	0.35	Outlet
Walmart	1197831	27/10/2020	South	Texas	Houston	Men's Athletic Footwear	45.00	950	427500.00	149625.00	0.35	Outlet
Walmart	1197831	28/10/2020	South	Texas	Houston	Women's Street Footwear	50.00	850	425000.00	148750.00	0.35	Outlet
Walmart	1197831	29/10/2020	South	Texas	Houston	Women's Athletic Footwear	50.00	700	350000.00	157500.00	0.45	Outlet
Walmart	1197831	30/10/2020	South	Texas	Houston	Men's Apparel	45.00	650	292500.00	87750.00	0.30	Outlet
Walmart	1197831	31/10/2020	South	Texas	Houston	Women's Apparel	55.00	900	495000.00	247500.00	0.50	Outlet
West Gear	1128299	01/11/2020	South	Texas	Houston	Men's Street Footwear	40.00	775	310000.00	108500.00	0.35	Outlet
West Gear	1128299	02/11/2020	South	Texas	Houston	Men's Athletic Footwear	50.00	775	387500.00	77500.00	0.20	Outlet
West Gear	1128299	03/11/2020	South	Texas	Houston	Women's Street Footwear	50.00	775	387500.00	135625.00	0.35	Outlet
West Gear	1128299	04/11/2020	South	Texas	Houston	Women's Athletic Footwear	50.00	625	312500.00	93750.00	0.30	Outlet
West Gear	1128299	05/11/2020	West	California	San Francisco	Men's Apparel	55.00	575	316250.00	158125.00	0.50	Outlet
West Gear	1128299	06/11/2020	West	California	San Francisco	Women's Apparel	50.00	775	387500.00	58125.00	0.15	Outlet
West Gear	1128299	07/11/2020	West	California	San Francisco	Men's Street Footwear	40.00	825	330000.00	115500.00	0.35	Outlet
West Gear	1128299	08/11/2020	West	California	San Francisco	Men's Athletic Footwear	50.00	725	362500.00	72500.00	0.20	Outlet
West Gear	1128299	09/11/2020	West	California	San Francisco	Women's Street Footwear	50.00	725	362500.00	126875.00	0.35	Outlet
West Gear	1128299	10/11/2020	West	California	San Francisco	Women's Athletic Footwear	50.00	575	287500.00	86250.00	0.30	Outlet
West Gear	1128299	11/11/2020	W	California	San Francisco	Men's Apparel	55.00	500	275000.00	137500.00	0.50	Outlet
West Gear	1128299	12/11/2020	West	California	San Francisco	Women's Apparel	50.00	700	350000.00	52500.00	0.15	Outlet
West Gear	1128299	13/11/2020	West	California	San Francisco	Men's Street Footwear	50.00	850	425000.00	148750.00	0.35	Outlet
West Gear	1128299	14/11/2020	West	California	San Francisco	Men's Athletic Footwear	60.00	700	420000.00	84000.00	0.20	Outlet
West Gear	1128299	15/11/2020	West	California	San Francisco	Women's Street Footwear	60.00	700	420000.00	147000.00	0.35	Outlet
West Gear	1128299	22/12/2020	West	California	San Francisco	Women's Athletic Footwear	60.00	600	360000.00	108000.00	0.30	Outlet
West Gear	1128299	23/12/2020	West	California	San Francisco	Men's Apparel	65.00	500	325000.00	162500.00	0.50	Outlet
West Gear	1128299	24/12/2020	W	California	San Francisco	Women's Apparel	60.00	700	420000.00	63000.00	0.15	Outlet
West Gear	1128299	25/12/2020	W	California	San Francisco	Men's Street Footwear	60.00	875	525000.00	183750.00	0.35	Outlet
West Gear	1128299	26/12/2020	W	California	San Francisco	Men's Athletic Footwear	65.00	675	438750.00	87750.00	0.20	Outlet
West Gear	1128299	27/12/2020	W	California	San Francisco	Women's Street Footwear	65.00	725	471250.00	164937.50	0.35	Outlet
West Gear	1128299	28/12/2020	W	California	San Francisco	Women's Athletic Footwear	60.00	625	375000.00	112500.00	0.30	Outlet
West Gear	1128299	29/12/2020	W	California	San Francisco	Men's Apparel	65.00	525	341250.00	170625.00	0.50	Outlet
West Gear	1128299	30/12/2020	W	California	San Francisco	Women's Apparel	80.00	700	560000.00	84000.00	0.15	Outlet
West Gear	1128299	31/12/2020	W	California	San Francisco	Men's Street Footwear	60.00	900	540000.00	216000.00	0.40	Outlet
West Gear	1128299	01/01/2021	W	California	San Francisco	Men's Athletic Footwear	65.00	750	487500.00	121875.00	0.25	Outlet
West Gear	1128299	02/01/2021	W	California	San Francisco	Women's Street Footwear	65.00	750	487500.00	195000.00	0.40	Outlet
West Gear	1128299	03/01/2021	W	California	San Francisco	Women's Athletic Footwear	60.00	650	390000.00	136500.00	0.35	Outlet
West Gear	1128299	04/01/2021	West	California	San Francisco	Men's Apparel	65.00	550	357500.00	196625.00	0.55	Outlet
West Gear	1128299	05/01/2021	West	California	San Francisco	Women's Apparel	80.00	725	580000.00	116000.00	0.20	Outlet
West Gear	1128299	06/01/2021	West	California	San Francisco	Men's Street Footwear	60.00	975	585000.00	234000.00	0.40	Outlet
West Gear	1128299	07/01/2021	West	California	San Francisco	Men's Athletic Footwear	65.00	825	536250.00	134062.50	0.25	Outlet
West Gear	1128299	08/01/2021	West	California	San Francisco	Women's Street Footwear	65.00	825	536250.00	214500.00	0.40	Outlet
West Gear	1128299	09/01/2021	West	California	San Francisco	Women's Athletic Footwear	60.00	700	420000.00	147000.00	0.35	Outlet
West Gear	1128299	10/01/2021	West	California	San Francisco	Men's Apparel	65.00	575	373750.00	205562.50	0.55	Outlet
West Gear	1128299	11/01/2021	West	California	San Francisco	Women's Apparel	80.00	875	700000.00	140000.00	0.20	Outlet
West Gear	1128299	12/01/2021	West	California	San Francisco	Men's Street Footwear	60.00	1,025	615000.00	215250.00	0.35	Outlet
West Gear	1128299	13/01/2021	West	California	San Francisco	Men's Athletic Footwear	65.00	875	568750.00	113750.00	0.20	Outlet
West Gear	1128299	14/01/2021	West	California	San Francisco	Women's Street Footwear	65.00	825	536250.00	187687.50	0.35	Outlet
West Gear	1128299	15/01/2021	West	California	San Francisco	Women's Athletic Footwear	60.00	725	435000.00	130500.00	0.30	Outlet
West Gear	1128299	16/01/2021	West	California	San Francisco	Men's Apparel	65.00	775	503750.00	251875.00	0.50	Outlet
West Gear	1128299	17/01/2021	West	California	San Francisco	Women's Apparel	80.00	775	620000.00	93000.00	0.15	Outlet
West Gear	1128299	18/01/2021	West	California	San Francisco	Men's Street Footwear	65.00	975	633750.00	221812.50	0.35	Outlet
West Gear	1128299	19/01/2021	West	California	San Francisco	Men's Athletic Footwear	70.00	925	647500.00	129500.00	0.20	Outlet
West Gear	1128299	20/01/2021	West	California	San Francisco	Women's Street Footwear	65.00	800	520000.00	182000.00	0.35	Outlet
West Gear	1128299	21/01/2021	West	California	San Francisco	Women's Athletic Footwear	65.00	750	487500.00	146250.00	0.30	Outlet
West Gear	1128299	22/01/2021	West	California	San Francisco	Men's Apparel	75.00	750	562500.00	281250.00	0.50	Outlet
West Gear	1128299	23/01/2021	West	California	San Francisco	Women's Apparel	80.00	725	580000.00	87000.00	0.15	Outlet
West Gear	1128299	24/01/2021	West	California	San Francisco	Men's Street Footwear	55.00	925	508750.00	152625.00	0.30	Outlet
West Gear	1128299	25/01/2021	West	California	San Francisco	Men's Athletic Footwear	60.00	925	555000.00	83250.00	0.15	Outlet
West Gear	1128299	26/01/2021	West	California	San Francisco	Women's Street Footwear	55.00	775	426250.00	127875.00	0.30	Outlet
West Gear	1128299	27/01/2021	West	California	San Francisco	Women's Athletic Footwear	55.00	725	398750.00	99687.50	0.25	Outlet
West Gear	1128299	28/01/2021	West	California	San Francisco	Men's Apparel	65.00	725	471250.00	212062.50	0.45	Outlet
West Gear	1128299	29/01/2021	West	California	San Francisco	Women's Apparel	70.00	775	542500.00	54250.00	0.10	Outlet
West Gear	1128299	30/01/2021	West	California	San Francisco	Men's Street Footwear	55.00	875	481250.00	144375.00	0.30	Outlet
West Gear	1128299	31/01/2021	West	California	San Francisco	Men's Athletic Footwear	60.00	875	525000.00	78750.00	0.15	Outlet
West Gear	1128299	01/02/2021	West	California	San Francisco	Women's Street Footwear	55.00	700	385000.00	115500.00	0.30	Outlet
West Gear	1128299	02/02/2021	West	California	San Francisco	Women's Athletic Footwear	55.00	675	371250.00	92812.50	0.25	Outlet
West Gear	1128299	03/02/2021	West	California	San Francisco	Men's Apparel	65.00	650	422500.00	190125.00	0.45	Outlet
West Gear	1128299	04/02/2021	West	California	San Francisco	Women's Apparel	70.00	700	490000.00	49000.00	0.10	Outlet
West Gear	1128299	05/02/2021	West	California	San Francisco	Men's Street Footwear	55.00	875	481250.00	144375.00	0.30	Outlet
West Gear	1128299	06/02/2021	West	California	San Francisco	Men's Athletic Footwear	60.00	875	525000.00	78750.00	0.15	Outlet
West Gear	1128299	07/02/2021	West	California	San Francisco	Women's Street Footwear	55.00	725	398750.00	119625.00	0.30	Outlet
West Gear	1128299	08/02/2021	West	California	San Francisco	Women's Athletic Footwear	55.00	700	385000.00	96250.00	0.25	Outlet
West Gear	1128299	09/02/2021	West	California	San Francisco	Men's Apparel	65.00	650	422500.00	190125.00	0.45	Outlet
West Gear	1128299	10/02/2021	West	California	San Francisco	Women's Apparel	70.00	775	542500.00	54250.00	0.10	Outlet
West Gear	1128299	11/02/2021	West	California	San Francisco	Men's Street Footwear	55.00	975	536250.00	160875.00	0.30	Outlet
West Gear	1128299	12/02/2021	West	California	San Francisco	Men's Athletic Footwear	60.00	975	585000.00	87750.00	0.15	Outlet
West Gear	1128299	13/02/2021	West	California	San Francisco	Women's Street Footwear	55.00	775	426250.00	127875.00	0.30	Outlet
West Gear	1128299	14/02/2021	West	California	San Francisco	Women's Athletic Footwear	55.00	775	426250.00	106562.50	0.25	Outlet
West Gear	1128299	15/02/2021	West	California	San Francisco	Men's Apparel	65.00	700	455000.00	204750.00	0.45	Outlet
West Gear	1128299	16/02/2021	West	California	San Francisco	Women's Apparel	70.00	800	560000.00	56000.00	0.10	Outlet
Kohl's	1189833	17/02/2021	West	California	San Francisco	Men's Street Footwear	35.00	700	245000.00	98000.00	0.40	Outlet
Kohl's	1189833	18/02/2021	West	California	San Francisco	Men's Athletic Footwear	45.00	700	315000.00	78750.00	0.25	Outlet
Kohl's	1189833	09/03/2021	West	California	San Francisco	Women's Street Footwear	45.00	700	315000.00	126000.00	0.40	Outlet
Kohl's	1189833	10/03/2021	West	California	San Francisco	Women's Athletic Footwear	45.00	550	247500.00	86625.00	0.35	Outlet
Kohl's	1189833	11/03/2021	West	California	Los Angeles	Men's Apparel	50.00	500	250000.00	137500.00	0.55	Outlet
Kohl's	1189833	12/03/2021	West	California	Los Angeles	Women's Apparel	45.00	700	315000.00	63000.00	0.20	Outlet
Kohl's	1189833	13/03/2021	West	California	Los Angeles	Men's Street Footwear	35.00	750	262500.00	105000.00	0.40	Outlet
Kohl's	1189833	14/03/2021	West	California	Los Angeles	Men's Athletic Footwear	45.00	650	292500.00	73125.00	0.25	Outlet
Kohl's	1189833	15/03/2021	West	California	Los Angeles	Women's Street Footwear	45.00	675	303750.00	121500.00	0.40	Outlet
Kohl's	1189833	16/03/2021	West	California	Los Angeles	Women's Athletic Footwear	45.00	525	236250.00	82687.50	0.35	Outlet
